Species ,Type strain ,16s rDNA ,gyrB gene,rpoD gene,rpoB gene,Genome
Pseudomonas fulva,ATCC 31418,AB060136.1,AB039395.1,AB039586.1,AJ717419.1,BBIQ00000000.1
Pseudomonas furukawaii ,KF707,AB109887.1,AP014862.1,AP014862.1.1,AP014862.1,AP014862.1
Pseudomonas fuscovaginae,LMG 2158,FJ483519.1,FN554185.1,FN554467.1,AJ717433.1,LT629972.1
Pseudomonas gallaeciencis,V113,FN995250.2,LN876645.1,FN994225.2,LMAZ00000000.1,LMAZ00000000.1
Pseudomonas gessardii,LMG 21604,AF074384.1,FN554186.1,FN554468.1,AJ717438.1,FNKR00000000.1
Pseudomonas graminis,LMG 21661,Y11150.1,FN554187.1,FN554469.1,AJ717429.1,FOHW00000000.1
Pseudomonas granadensis,DSM 28040,HG764746.1,HG764749.1,HG764748.1,HG764747.1,LT629778.1
Pseudomonas grimontii,ATCC BAA-140,AF268029.1,FN554188.1,FN554470.1,AJ717439.1,FNKM00000000.1
Pseudomonas guangdongensis,CCTCC 2012022,JX274436.1,LT629780.1,LT629780.1,LT629780.1,LT629780.1
Pseudomonas guariconensis,LMG 27394,HF674459.1,HF674462/LN851841.1,HF674460.1/LN851842.1,HF674461.1/LN851843.1,FMYX00000000.1
Pseudomonas guguanensis,JCM 18416,JQ864237.1,JQ864238.1,"FNJJ00000000.1	","FNJJ00000000.1	","FNJJ00000000.1	"
Pseudomonas guineae,M8,AM491810.1,FN554189.1,FN554471.1,FN554734.1,FOQL00000000.1
Pseudomonas helleri,DSM 29165,JYLD00000000.1,JYLD00000000.1,JYLD00000000.1,JYLD00000000.1,JYLD00000000.1
Pseudomonas helmanticensis,CECT 8548,HG940537.1,SOCQ00000000.1,HG940517.1,HG940518.1,Gp0112928
Pseudomonas humi,CCA1,BDGS00000000.1,BDGS00000000.1,BDGS00000000.1,BDGS00000000.1,BDGS00000000.1
Pseudomonas hunanensis,NCCB 100446,J545210.1,JX545211.1/KP151497.1,KP151501.1,PISL00000000.1,PISL00000000.1
Pseudomonas hussainii,JCM 19513,KF582606.1,FOAS00000000.1,FOAS00000000.1,FOAS00000000.1,FOAS00000000.1
Pseudomonas indica,LMG 23066,AF302795.1,FN554190.1,FN554472.1,AJ717481.1,FNFD00000000.1
Pseudomonas indoloxydans,JCM 14246,DQ916277.2,AB548144.1,AB548146/HE800496.1,AB548148.1,QASO00000000.1
Pseudomonas japonica,JCM 21532,AB126621.2,GQ996725.1,HE577795.1,HE577800.1,BBI00000000.1
Pseudomonas jessenii,ATCC 700870,AF068259.1,FN554191.1,FN554473.1,AJ717447.1,FNTC00000000.1
Pseudomonas jinjuensis,LMG 21316,AF468448.1,FN554192.1,FN554474.1,FN554735.1,FNIJ00000000.1
Pseudomonas kairouanesis,KC12,LR031357.1,LR130162.1,LR130152.1,QUZU00000000.1,QUZU00000000.1
Pseudomonas luteola ,LMG 7041,D84002.1,FN554199.1,FN554481.1,AJ717452.1,FOEV00000000.1
Pseudomonas mandelii,LMG 21607,AF058286.1,FN554200.1,FN554482.1,AJ717435.1,LT629796.1
Pseudomonas mangrovi,TC-11,MH137036.1,QASN00000000.1,QASN00000000.1,QASN00000000.1,QASN00000000.1
Pseudomonas marginalis,ATCC 10844,Z76663.1,AB039448.1,AB039575.1,AJ717425.1,FNSU00000000.1
